no	area	title	address	tel	wgs84aX	wgs84aY	data_type
71	永和區	大家美食館	新北市永和區復興路4號	2924-0708	121.5204266	25.00915211	共食
72	永和區	桔牛肉河粉	新北市永和區中興街51號	2231-5177	121.5165293	25.01180264	共食
73	永和區	頤園麵食館	新北市永和區中興街94號	2929-4523	121.5187831	25.01218155	共食
74	永和區	七九涮涮鍋	新北市永和區中興街96號1樓	2922-5779	121.5188434	25.01219806	共食
75	永和區	二嫂的店	新北市永和區竹林路158號	2924-5198	121.5202568	25.01043505	共食
76	永和區	永和正港豆花	新北市永和區中興街106之1號	"8921-5100 
0923-186-816"	121.5191532	25.01229969	共食
77	永和區	香香廚五位炒飯炒麵專賣店	新北市永和區中興街52巷2號	2924-5198	121.5167788	25.01151957	共食
78	永和區	莿桐潤餅大王	新北市永和區中興街52巷4-1號	2924-1790	121.5169944	25.01103523	共食
79	永和區	永和大大茶樓	新北市永和區永和路2段116號5樓	6637-5959	121.5152165	25.01206995	共食
80	永和區	蓮花素食館	新北市永和區福和路126號	8925-0658	121.5219233	25.00797251	共食
81	永和區	韓御川韓式料理	新北市永和區竹林路213巷12號	8925-5672	121.5213258	25.00882216	共食
82	永和區	台寶麵店	新北市永和區竹林路223號	8928-5021	121.5208229	25.00861013	共食
83	永和區	瑞麟美而美	新北市永和區竹林路225巷41-1號	8928-5135	121.5230365	25.00888662	共食
84	永和區	四季豆花店	新北市永和區竹林路225巷58號	8925-5723	121.5230841	25.00867744	共食
85	永和區	竹林小吃	新北市永和路225巷56號之1	8926-1106	121.4653487	25.01216836	共食
86	永和區	??涮涮鍋	新北市永和區中正路620號1樓	2924-0000	121.5170515	25.00781888	共食
87	永和區	小伍牛肉麵	新北市永和區福和路212號	2921-7555	121.5196009	25.00776391	共食
88	永和區	靜蔬食坊	新北市永和區國光路18號	2921-1219	121.5188717	25.00843474	共食
89	永和區	自強快餐	新北市永和區竹林路208號	2922-3718	121.5206688	25.00837108	共食
90	永和區	鵝肉侯	新北市永和區國光路17號	2922-1909	121.520036	25.00837629	共食
91	永和區	妙真素食	新北市永和區國光路7號	2921-8029	121.5202765	25.00840683	共食
92	永和區	泰悅屋	新北市永和區國光路21號之1	0935-136-843	121.5198087	25.00834498	共食
93	永和區	天橋下鵝肉專業料理	新北市永和區國光路49巷4號	8921-4099	121.5189823	25.00809677	共食
94	永和區	四海遊龍竹林店	新北市永和區竹林路103號	8926-1746	121.5198077	25.01197322	共食
95	永和區	六年級咖啡館	新北市永和區竹林路89號	8928-0990	121.5196754	25.01226808	共食
96	永和區	王品永和店	新北市永和區永和路1段228號	8660-6006	121.5145488	25.00984007	共食
97	永和區	集眾鐵板燒	新北市永和區中正路583號1樓	29217-893	121.5166567	25.00914959	共食
98	永和區	心心早餐店	新北市永和區豫溪街7號	8923-6939	121.5149966	25.00993396	共食
99	永和區	韓香館	新北市永和區警光街4號	2926-1228	121.5200127	25.00971198	共食
100	永和區	鐵路飯包	新北市永和區竹林路137號1樓	8925-1092	121.5203242	25.01076595	共食
101	永和區	卡莎貝拉	新北市永和區竹林路191巷2號1樓	8925-8603	121.5209339	25.0094071	共食
102	永和區	麵伯麵店	新北市永和區福和路57巷2號	0925-010-777	121.522938	25.00762864	共食
103	永和區	滷珍坊	新北市永和區福和路57巷2之1號	0955-540-562	121.522938	25.00762864	共食
104	永和區	官邸複合式庭園餐廳	新北市永和區民族街29號	2946-2066	121.5187855	24.9995002	共食
105	永和區	永源自助餐	新北市永和區永元路64號	8660-5806	121.5224382	25.00141405	共食
106	永和區	廚園小館	新北市永和區永元路130號1樓	2921-2885	121.522942	25.00303001	共食
107	永和區	和利自助餐	新北市永和區秀朗路2段79號1樓	2921-4608	121.5228866	25.0017672	共食
108	永和區	早安美芝城秀朗店	新北市永和區秀朗路2段73號	2926-6706	121.5226822	25.00177747	共食
109	永和區	星集早餐	新北市永和區秀朗路2段127號	2926-1899	121.5243285	25.00168345	共食
110	永和區	天天來海鮮料理	新北市永和區民有街7號	2945-7766	121.5161701	24.99710985	共食
111	永和區	芬蘭自助餐	新北市永和區中正路258號	8941-2965	121.5167435	24.99853033	共食
112	永和區	皇家餐盒	新北市永和區智光街53號	2945-2865	121.5172143	24.99798049	共食
113	永和區	金正好吃麵線、臭豆腐	新北市永和區民光街4號	"8921-8899
0960-611-677"	121.5153081	24.99625919	共食
114	永和區	金正好吃麵線、臭豆腐	新北市中和區宜安路74號	"8921-8899
0960-611-677"	121.5112582	24.99732085	共食
115	永和區	港星燒臘店	新北市永和區民光街14號1樓	"2943-6805
0982-736-838"	121.5155902	24.99602173	共食
116	永和區	天香客家小吃	新北市永和區智光街96號	8943-3597	121.5160247	24.99684313	共食
117	永和區	民生熱炒	新北市永和區民生路18號	2946-1108	121.5225381	24.99745071	共食
118	永和區	咖啡家coffee+	新北市永和區成功路2段100號	2947-7677	121.526528	24.99825993	共食
119	永和區	八方雲集（得和店）	新北市永和區得和路408號1、2樓	"8668-9869
0961-299-909"	121.5257963	24.99906989	共食
120	永和區	阿玉麵店	新北市永和區秀朗路2段252號	2943-1323	121.5260691	24.9988205	共食
121	永和區	董水餃	新北市永和區得和路386號	0922-158-009	121.5250354	24.99919679	共食
122	永和區	董娘麵店	新北市永和區得和路398號	0935-471-609	121.5254937	24.99911635	共食
123	永和區	三塊厝	新北市永和區成功路2段134號	2945-6069	121.5264746	24.99742049	共食
124	永和區	家鄉珍味小館	新北市永和區成功路2段148號	2940-4876	121.5264649	24.99698578	共食
125	永和區	千友饅頭店	新北市永和區成功路2段119號	2927-7928	121.5267828	24.9985881	共食
126	永和區	柯媽媽米粉湯	新北市永和區民樂街55巷2號1樓	2925-3298	121.5275098	24.99851984	共食
127	永和區	一品豆花	新北市永和區得和路373巷2號	2927-9370	121.5248032	24.99966165	共食
128	永和區	三多燒臘店	新北市永和區秀朗路2段241號	2920-9150	121.5263749	24.99975165	共食
129	永和區	池上木片便當	新北市永和區成功路2段68號	2925-1190	121.5266043	24.99944747	共食
130	永和區	亞美?永和豆漿	新北市永和區永亨路127號	8921-6599	121.5245889	25.00414253	共食
131	永和區	巷口滷味	新北市永和區秀朗路2段181巷11號	3233-5077	121.526199	25.00153436	共食
132	永和區	葉子早餐店	新北市永和區永亨路158號	2929-7667	121.5256528	25.00374941	共食
133	永和區	易牙居	新北市永和區成功路1段80號B1	2923-6558	121.5267767	25.00331547	共食
134	永和區	117上海乾麵	新北市永和區成功路1段119號	2926-6863	121.5269441	25.00200946	共食
135	永和區	"巨林美而美
(秀成店)"	新北市永和區成功路1段121號	2924-1641	121.5269427	25.00197603	共食
136	永和區	成功小吃	新北市永和區成功路1段97號	8923-1630	121.5269992	25.0026351	共食
137	永和區	米茶得和店	新北市永和區得和路331號	2927-7878	121.523672	24.99962394	共食
138	永和區	元品排骨便當店	新北市永和區得和路373巷14號1樓	2920-1810	121.5250597	25.00019462	共食
139	永和區	燒味鮮合菜小館	新北市永和區永元路23號	0911-103-210	121.5220055	25.00067008	共食
140	永和區	斯佩齊亞義式小廚	新北市永和區永元路71號	2231-2121	121.5221451	25.00114375	共食
141	永和區	遇見 司栗	新北市永和區得和路243巷2號	2925-5361	121.5205281	25.0002859	共食
142	永和區	和林鐵板燒	新北市永和區得和路358號1樓	"2945-6363
0916-831-232"	121.5240217	24.99935562	共食
143	永和區	爵品牛排	新北市永和區民生路69號	0921-942-993	121.5227086	24.99720803	共食
144	永和區	自然Q奶	新北市永和區民生路53號	8668-6767	121.5228324	24.99767817	共食
145	永和區	上紅臭臭鍋	新北市永和區民生路55號	8941-2867	121.5227457	24.9976092	共食
146	永和區	俊客思	新北市永和區民生路45號	2946-7666	121.5228728	24.99791451	共食
147	永和區	小貴族炙燒牛排	新北市永和區得和路336號1樓	2940-9615	121.5234166	24.99945569	共食
148	永和區	英仕堡早餐店	新北市永和區民生路47巷1號1樓	8941-6821	121.5229698	24.99791895	共食
149	永和區	津津記餃	新北市永和區秀朗路1段134號	2926-2769	121.5178264	25.0033754	共食
150	永和區	賞味自助餐	新北市永和區中正路356號	"2929-0068
2929-6001"	121.5177643	25.0007397	共食
151	永和區	頂?燒肉火鍋	新北市永和區中正路370號	2928-5759	121.5177586	25.00093917	共食
152	永和區	阿妃餃子館	新北市永和區中正路470號	2922-8730	121.5175034	25.00323798	共食
153	永和區	怡人園精緻料理館	新北市永和區得和路115號	2924-7158	121.518562	25.00033323	共食
154	永和區	368福泉布丁豆花店	新北市永和區中正路368巷1弄47號	2924-9459	121.5192531	25.00125062	共食
155	永和區	全省藝素素食餐飲	新北市永和區永貞路38號1樓	2928-1699	121.520813	25.00655947	共食
156	永和區	鎮江館	新北市永和區永貞路32號	2928-5308	121.5208659	25.0066835	共食
157	永和區	田豆食府	新北市永和區永亨路60號	2927-5989	121.520574	25.00614945	共食
158	永和區	嘉義雞肉飯	新北市永和區永貞路43號	8923-9858	121.5210176	25.00630078	共食
159	永和區	圓城川菜館	新北市永和區永貞路26號	2925-9998	121.5208613	25.00683639	共食
160	永和區	台南汕頭意麵	新北市永和區永亨路63號	2924-8316	121.5211349	25.00613555	共食
161	永和區	文化養生豆漿	新北市永新北市和區永貞路28號	"2920-9567
0936-365-348"	121.4653487	25.01216836	共食
162	永和區	永和豆漿	新北市永和區永貞路41號	8921-8699	121.5210363	25.00636998	共食
163	永和區	鍾家餃子麵館	新北市永和區福和路185號	2921-7327	121.5198526	25.00757803	共食
164	永和區	呷尚寶早餐店	新北市永和區永貞路142號	2926-3790	121.5182288	25.00449043	共食
165	永和區	台南蔡虱目魚專賣店	新北市永和區永貞路117號	2929-7754	121.5175693	25.00425295	共食
166	永和區	吉得堡早餐店	新北市永和區林森路10巷25號	2927-0998	121.525912	25.00615271	共食
167	永和區	擱一碗	新北市永和區秀朗路2段63號	2231-5341	121.5220519	25.0021025	共食
168	永和區	新明牛肉麵	新北市永和區國中路34號	2924-1633	121.5247355	25.00563575	共食
169	永和區	當歸小吃店	新北市永和區國中路15號	2928-5503	121.5242068	25.00489354	共食
170	永和區	古早厝	新北市永和區秀朗路1段38號	2926-6979	121.5142457	25.00657955	共食
171	永和區	猛港海鮮料理	新北市永和路1段62號	2928-6383	121.4653487	25.01216836	共食
172	永和區	固湯頭	新北市永和區自由街71號	0972-289-326	121.5134695	25.00524456	共食
173	永和區	極味棧	新北市永和區福和路376號1樓	8921-3756	121.5143327	25.00781754	共食
174	永和區	韓蓮小館	新北市永和區大新街16號	2925-9577	121.5150144	25.00844425	共食
175	永和區	雲南婆婆	新北市永和區大新街12號	8921-4879	121.5149601	25.00846129	共食
176	永和區	景修素食	新北市永和區大新街53號	2922-0831	121.5158357	25.00845294	共食
177	永和區	烹小鮮	新北市永和區大新街52巷1弄2號	8923-3007	121.516148	25.00809516	共食
178	永和區	金鍋子	新北市永和區大新街15號	8923-8771	121.5147801	25.00861903	共食
179	永和區	永和?大王	新北市永和區文化路55號	2925-7873	121.5141563	25.01502958	共食
180	永和區	佳味小棧	新北市永和區仁愛路30號	2927-8222	121.5145533	25.01357648	共食
181	永和區	小德張羊肉爐	新北市永和區中山路一段89號	2927-5550	121.5116718	25.01064986	共食
182	永和區	吳記當歸鴨肉、豬腳麵線	新北市永和區永貞路311號	2232-9402	121.5100218	25.00645038	共食
183	永和區	八里亭麵館	新北市永和區中山路1段293號	2929-1108	121.5067897	25.00678271	共食
184	永和區	三媽臭臭鍋	新北市永和區永貞路398號	8921-8895	121.5092819	25.00761382	共食
185	永和區	嘉義鱔魚麵	新北市永和區永貞路396號	2926-3351	121.5093184	25.00757786	共食
186	永和區	美食坊早餐店	新北市永和區保平路214巷12弄3號1樓	2923-0103	121.5089906	25.00690537	共食
187	永和區	王陶爾韓式料理	新北市永和區中山路一段281巷3號	2920-2179	121.5073358	25.00672232	共食
188	永和區	豬腳源大王	新北市永和區永貞路402號	2922-4503	121.5076044	25.00903282	共食
189	永和區	十里塘麵館	新北市永和區永貞路416號	8660-8356	121.5088761	25.00804876	共食
190	永和區	中壢新老牌牛肉麵	新北市永和區永貞路361巷2號	2231-3879	121.508825	25.00774795	共食
191	永和區	中山早餐店	新北市永和區中山路1段255巷18號	2927-4241	121.5082712	25.00725419	共食
192	永和區	蕭阿姨小吃店	新北市永和區保平路50巷8弄1號	0916-709-592	121.5110644	25.00758341	共食
193	永和區	誼美自助餐	新北市永和區保平路107號	2922-8155	121.5111696	25.0067537	共食
194	永和區	老賴牛肉麵	新北市永和區保平路50巷8弄14號	2921-7852	121.5115962	25.00781925	共食
195	永和區	阿煌魯肉飯	新北市永和區中和路501巷2號	3233-9158	121.5106277	25.00248579	共食
196	永和區	源林鐵板燒	新北市永和區水源街17號	2922-8908	121.5121751	25.00490451	共食
197	永和區	南部小吃	新北市永和區保平路111巷口	0911-062-766	121.5113879	25.00630865	共食
198	永和區	鼎粥王	新北市永和區永貞路352之1號	2920-1588	121.5107662	25.00603394	共食
199	永和區	呈信傳統鵝肉店	新北市永和區永貞路143號	2927-7097	121.5162611	25.00410602	共食
200	永和區	東方美	新北市永和區安樂路294號1樓	2920-7030	121.5144327	25.00472147	共食
201	永和區	珍鐉池上飯包店	新北市永和區自由街5號	2926-5577	121.5150044	25.00699234	共食
202	永和區	鼎饌小火鍋	新北市永和區永平路201號（樂華夜市前）	2923-5604	121.5095244	25.00996014	共食
203	永和區	Mr. Onion 天母洋蔥牛排	"新北市永和區中山路1段238號
(比漾廣場4樓)"	8231-5569	121.5076461	25.00783655	共食
204	永和區	紅樹林鐵板燒	"新北市永和區中山路1段238號
(比漾廣場B2)"	8231-5518	121.5076461	25.00783655	共食
205	永和區	UCC Coffee Shop	"新北市永和區中山路1段238號
(比漾廣場5樓)"	8231-5333	121.5076461	25.00783655	共食
206	永和區	藝奇新日本料理	"新北市永和區中山路1段238號
(比漾廣場5樓)"	8231-5152	121.5076461	25.00783655	共食
207	永和區	開飯川食堂	新北市永和區中山路一段238號(比漾廣場B2)	8231-5388	121.5076461	25.00783655	共食
208	永和區	韓風館韓式料理	"永和區中山路1段238號
(比漾廣場B2)"	8231-6861	 	 	共食
209	永和區	南朝鮮韓式料理	"新北市永和區中山路1段238號
(比漾廣場B2)"	8231-5198	121.5076461	25.00783655	共食
210	永和區	時雨齋茶館	新北市永和區保生路2號7樓	"8231-5988
8231-6118*8105"	121.5067404	25.00751	共食
211	永和區	HBC早午餐	新北市永和區保生路28號	8923-3970	121.5064698	25.00785659	共食
212	永和區	妙法素食	新北市永和區中山路一段104號	8923-7967	121.5110699	25.01059929	共食
213	永和區	青蚵苑	新北市永和區永平路204號1樓	2927-3320	121.5097127	25.01005823	共食
214	永和區	京宴屋	新北市永和區中山路1段124號	2925-8929	121.5105521	25.0101915	共食
215	永和區	來品鮮生猛海鮮熱炒	新北市永和區中山路1段102號	2232-3897	121.5111252	25.01065882	共食
216	永和區	四海遊龍(仁愛店)	新北市永和區仁愛路98號	2920-6660	121.5122493	25.01326514	共食
217	永和區	MAKE飲料店	新北市永和區仁愛路101號	2928-0727	121.5124503	25.01308886	共食
218	永和區	詹師父全素養生館	新北市永和區仁愛路108號	2232-4589	121.5119728	25.01322196	共食
219	永和區	大吉食堂	新北市永和區環河西路2段207號	8921-9022	121.5018162	25.01068591	共食
220	永和區	美式早餐店	新北市永和區保安路71號	2232-5138	121.5091799	25.01543035	共食
221	永和區	高麗亭韓式料理	新北市永和區信義路5巷4號	"8923-6366
0937-750-098"	121.514375	25.01175397	共食
222	永和區	招饞貓	新北市永和區保安路107號	2927-9496	121.5080132	25.0141268	共食
223	永和區	保福豆漿	新北市永和區保福路2段143號	2927-1520	121.5095811	25.01416567	共食
224	永和區	江浙翁記小館	新北市永和區保安路123號	2928-0251	121.5076286	25.01372019	共食
225	永和區	義麵寶寶義大利麵館	新北市永和區信義路45號	2925-7097	121.5131553	25.01232304	共食
226	永和區	阿國海鮮燒烤小舖	新北市永和區信義路60號	2926-1750	121.512935	25.01269342	共食
227	永和區	寶媽咖啡館	新北市永和區信義路14之3號	2928-3809	121.5144382	25.0121604	共食
228	永和區	信義鍋燒麵	新北市永和區信義路14之1號	2927-7288	121.5144382	25.0121604	共食
229	永和區	天生永和素食店	新北市永和區信義路36號	2929-0908	121.513575	25.01238848	共食
230	永和區	一品軒	新北市永和區信義路35號1樓	8923-8943	121.5134452	25.01222518	共食
231	永和區	瑾園牛肉麵店	新北市永和區文化路83號	2926-7277	121.5135491	25.01510752	共食
232	永和區	文化路麻油雞	新北市永和區文化路152	2927-0158	121.5131278	25.01328414	共食
233	永和區	義想義大利麵	新北市永和區文化路116號	8921-9282	121.5133611	25.01531895	共食
234	永和區	德家壽司屋	新北市永和區文化路110號	8921-9083	121.5135023	25.01530213	共食
235	永和區	怡園排骨便當	新北市永和區文化路90巷3弄1號1樓	2929-0828	121.5138	25.01547368	共食
236	永和區	Joe's Pizza四季窯烤披?	新北市永和區文化路130號	8660-6266	121.512895	25.01534711	共食
237	永和區	托斯卡義式廚房	新北市永和區仁愛路240號	2231-1918	121.508338	25.01170396	共食
238	新莊區	老許烤鴨快餐店	新北市新莊區復興路一段212號	2992-1870	121.4528256	25.04372299	共食
239	新莊區	八方雲集鍋貼水餃專賣店中華店	新北市新莊區中華路一段234號1樓	2279-8146	121.4527306	25.04329281	共食
240	新莊區	鴻記燒臘便當快餐店	新北市新莊區復興路二段28號	899-13919	121.4547337	25.04412618	共食
241	新莊區	紅豆媽媽	新北市新莊區公園路210號對面	0913-609-166	121.4555683	25.04035618	共食
242	新莊區	傳品牛排館	新北市新莊區福營路79號	2902-5788	121.4348542	25.03239195	共食
243	新莊區	八方雲集鍋貼建國店	新北市新莊區建國一路34號	2908-0922	121.4338355	25.03155665	共食
244	新莊區	金廚自助餐	新北市新莊區建國一路38號	2903-1363	121.4338638	25.03148558	共食
245	新莊區	新泰路米苔目	新北市新莊區景德路197號	2993-7806	121.4497798	25.03391857	共食
246	新莊區	古早味意麵	新北市新莊區新莊路481號	2201-9298	121.448981	25.0334301	共食
247	新莊區	京饌餐坊	新北市新莊區中港路173號一樓	2276-2211	121.4549389	25.04129388	共食
248	新莊區	真的好晶漾會館	新北市新莊區中港路572號	2277-9601	121.4514597	25.05339665	共食
249	新莊區	新莊翰品酒店	新北市新莊區中正路82號	2993-9788	121.457849	25.03777177	共食
250	新莊區	頂新莊會館有限公司	新北市新莊區中華路一段138之2號	8991-5088	121.4511497	25.06057596	共食
251	新莊區	海產大王永寶婚宴會館	新北市新莊區新樹路170號	2205-5008	121.4345483	25.02188605	共食
252	新莊區	貓咪不吃魚素食餐廳	新北市新莊區立信三街7巷3號	8992-5885	121.444313	25.05017895	共食
253	新莊區	喜相逢婚宴會館	新北市新莊區民安路188巷5號八樓 	2205-9395	121.424806	25.02323769	共食
254	新莊區	老吳牛肉麵	新北市新莊區建國一路27號	2902-6657	121.4341338	25.03144457	共食
255	新莊區	品味小吃	新北市新莊區建國一路29號	2908-8573	121.4341984	25.03136156	共食
256	新莊區	醇滷味	新北市新莊區建國一路33號	2904-2509	121.4342343	25.03120765	共食
257	新莊區	好味麵疙瘩	新北市新莊區建國一路82號	2901-3583	121.4342912	25.03041953	共食
258	新莊區	大吃小算	新北市新莊區建國一路15號	2903-1296	121.4339304	25.03194917	共食
259	新莊區	牛達人牛排館	新北市新莊區建國一路92號	2991-7505	121.4344561	25.03003098	共食
260	新莊區	玉口香扁食園輔大店	新北市新莊區建國一路49號	2903-8238	121.434417	25.03074807	共食
261	新莊區	湘園小吃	新北市新莊區新豐街61號	2203-1417	121.4466093	25.03372485	共食
262	新莊區	2婆娘早餐店	新北市新莊區民安路305號	2203-0880	121.4296735	25.0225815	共食
263	新莊區	一帆早餐店	新北市新莊區民安路322號	2205-0523	121.4289188	25.02192201	共食
264	新莊區	九九豆漿早餐店	新北市新莊區民安路301號	2205-7007	121.4295711	25.02254119	共食
265	新莊區	漢堡先生	新北市新莊區民安路294號	2203-1967	121.4281342	25.02169854	共食
266	新莊區	12雞腿飯蛋包飯	新北市新莊區西盛街178號	2201-3933	121.4280909	25.01882188	共食
267	新莊區	中西式早餐店	新北市新莊區萬安街87巷23號	2205-9213	121.4220889	25.02327591	共食
268	新莊區	福祥堡早餐店	新北市新莊區四維路152巷29號	2205-2817	121.4220627	25.02243672	共食
269	新莊區	佳味米粉湯	新北市新莊區福海街17號	2203-5389	121.4452067	25.03369008	共食
270	新莊區	千葉火鍋新莊中原店	新北市新莊區中原路31號	8991-0207	121.4588054	25.05425382	共食
271	新莊區	全國素食中誠店	新北市新莊區中和路67號	8991-2200	121.4506145	25.03586013	共食
272	新莊區	喵喵定食屋	新北市新莊區中正路514巷51號	2903-9293	121.4321511	25.03351097	共食
